United States 1900 USA 74829905 613998133248.000                  24447.377 1829.395                           986.777 73.840                                      1318.265 98.646                                       
United States 1901 USA 76245912 683106041856.000                8.757 160.198 26094.422 1989.593                         10.817 7.988 1073.213 81.828                                    9.078 8.955 1411.233 107.601                                       
United States 1902 USA 77698268 690126848000.000                4.330 86.156 26715.510 2075.749                         9.761 7.988 1155.955 89.816                                    27.918 30.040 1771.482 137.641                                       
United States 1903 USA 79187838 723766345728.000                16.783 348.370 30612.256 2424.118                         8.893 7.988 1235.080 97.803                                    13.181 18.143 1967.270 155.784                                       
United States 1904 USA 80705948 714621845504.000                -1.550 -37.574 29570.855 2386.544                         8.167 7.988 1310.820 105.791                                    16.543 25.772 2249.598 181.556                                       
United States 1905 USA 82253148 767532728320.000                11.627 277.483 32388.145 2664.027                         7.550 7.988 1383.274 113.779                                    15.060 27.342 2539.697 208.898                                       
United States 1906 USA 83829992 855994335232.000                5.458 145.400 33513.387 2809.427                         7.020 7.988 1452.538 121.766                                    -6.102 -12.746 2339.874 196.152                                       
United States 1907 USA 85437050 869070536704.000                15.986 449.107 38139.586 3258.534                         6.560 7.988 1518.708 129.754                                    31.306 61.406 3014.594 257.558                                       
United States 1908 USA 87074899 799355502592.000                -13.431 -437.666 32395.877 2820.868                         6.156 7.988 1581.874 137.742                                    7.487 19.283 3179.338 276.841                                       
United States 1909 USA 88647362 890110017536.000                10.814 305.060 35262.500 3125.927                         5.799 7.988 1643.920 145.729                                    2.600 7.199 3204.150 284.039                                       
United States 1910 USA 90151889 893975461888.000                8.850 276.638 37742.586 3402.565                         5.481 7.988 1705.087 153.717                                    14.404 40.914 3604.515 324.954                                       
United States 1911 USA 91585865 917451833344.000                -1.042 -35.443 36764.648 3367.122                         5.391 8.286 1768.867 162.003                                    5.197 16.887 3732.460 341.841                                       
United States 1912 USA 92946603 954787430400.000                7.675 258.423 39006.746 3625.545                         5.115 8.286 1832.123 170.290                                    1.130 3.861 3719.359 345.702                                       
United States 1913 USA 94231351 986598473728.000                6.641 240.768 41030.008 3866.313                         4.866 8.286 1895.080 178.576                                    11.442 39.554 4088.399 385.255                                       
United States 1914 USA 95533839 905134473216.000                -9.901 -382.818 36463.465 3483.495                         4.640 8.286 1955.980 186.862                                    6.970 26.854 4313.750 412.109                                       
United States 1915 USA 96854312 925041164288.000                3.505 122.100 37226.992 3605.595                         4.434 8.286 2014.868 195.149                                    5.771 23.783 4500.496 435.892                                       
United States 1916 USA 98193018 1046397583360.000                11.000 396.622 40758.668 4002.217                         4.246 8.286 2071.787 203.435                                    6.990 30.471 4749.452 466.363                                       
United States 1917 USA 99550208 1014196404224.000                10.389 415.794 44379.730 4418.011                         4.073 8.286 2126.780 211.721                                    11.496 53.614 5223.267 519.977                                       
United States 1918 USA 100970120 1099047305216.000                4.134 182.630 45564.387 4600.642                         3.914 8.286 2178.939 220.008                                    6.144 31.948 5466.220 551.925                                       
United States 1919 USA 102419259 1102169636864.000                -18.322 -842.917 36689.629 3757.725                         3.766 8.286 2229.016 228.294                                    9.781 53.986 5915.991 605.911                                       
United States 1920 USA 103898175 1085154983936.000                18.831 707.604 42977.930 4465.329                         3.630 8.286 2277.042 236.581                                    19.238 116.568 6953.721 722.479                                       
United States 1921 USA 105407425 1054213734400.000                -23.071 -1030.206 32589.000 3435.123                         3.503 8.286 2323.052 244.867                                    4.179 30.191 7140.582 752.670                                       
United States 1922 USA 106947578 1105913315328.000                -5.814 -199.732 30252.119 3235.391                         3.384 8.286 2367.078 253.153                                    18.074 136.036 8309.738 888.706                                       
United States 1923 USA 108519213 1244263743488.000                37.940 1227.493 41125.285 4462.884                         17.132 43.370 2732.447 296.523                                    31.350 278.608 10756.756 1167.315                                       
United States 1924 USA 110113945 1274653966336.000                -13.116 -585.347 35213.859 3877.537                         14.626 43.370 3086.737 339.893                                    -2.338 -27.296 10353.086 1140.019                                       
United States 1925 USA 111732111 1296540106752.000                1.812 70.244 35332.551 3947.781                         12.760 43.370 3430.192 383.263                                    6.731 76.735 10889.922 1216.754                                       
United States 1926 USA 113374057 1372770926592.000                13.031 514.423 39358.238 4462.203                         11.316 43.370 3763.051 426.632                                    1.770 21.539 10922.187 1238.293                                       
United States 1927 USA 115040131 1378144616448.000                -9.113 -406.634 35253.516 4055.569                         10.166 43.370 4085.549 470.002                                    15.978 197.850 12483.837 1436.142                                       
United States 1928 USA 116730690 1385247277056.000                -3.641 -147.651 33478.066 3907.918                         9.228 43.370 4397.917 513.372                                    0.086 1.233 12313.600 1437.375                                       
United States 1929 USA 118261782 1461345452032.000                5.680 221.985 34921.703 4129.903                         4.509 23.151 4536.736 536.522                                    11.742 168.775 13581.307 1606.150                                       
United States 1930 USA 119629770 1322627104768.000                -11.811 -487.773 30445.014 3642.130                         4.315 23.151 4678.376 559.673                                    -10.852 -174.299 11969.017 1431.851                                       
United States 1931 USA 120830953 1237725872128.000                -17.727 -645.631 24799.104 2996.499                         4.136 23.151 4823.462 582.824                                    -5.226 -74.827 11230.759 1357.023                                       
United States 1932 USA 121861566 1051216904192.000                -18.602 -557.396 20015.363 2439.104                         3.972 23.151 4972.643 605.974                                    -7.746 -105.112 10273.226 1251.911                                       
United States 1933 USA 122717780 1015524950016.000                6.565 160.138 21180.645 2599.242                         3.820 23.151 5126.597 629.125                                    13.833 173.182 11612.772 1425.094                                       
United States 1934 USA 123580010 1100529926144.000                8.707 226.322 22864.244 2825.563                         3.680 23.151 5278.161 652.275                                    0.322 4.594 11568.922 1429.688                                       
United States 1935 USA 124448298 1237782364160.000                2.008 56.730 23160.570 2882.293                         3.549 23.151 5427.360 675.426                                    9.553 136.583 12585.711 1566.270                                       
United States 1936 USA 125322686 1359902408704.000                16.288 469.457 26744.959 3351.750                         3.428 23.151 5574.220 698.576                                    10.344 162.017 13790.701 1728.288                                       
United States 1937 USA 126203219 1462308700160.000                0.753 25.246 26758.395 3376.996                         3.314 23.151 5718.767 721.727                                    16.324 282.132 15930.021 2010.420                                       
United States 1938 USA 127089938 1373407805440.000                -20.646 -697.223 21085.641 2679.773                         8.508 61.405 6162.027 783.132                                    -5.066 -101.855 15017.432 1908.564                                       
United States 1939 USA 128160070 1469481091072.000                13.088 350.735 23646.271 3030.508                         7.841 61.405 6589.701 844.536                                    4.167 79.537 15512.647 1988.102                                       
United States 1940 USA 129417367 1592319803392.000                14.751 447.039 26870.787 3477.547                         7.271 61.405 7000.153 905.941                                    6.977 138.711 16433.752 2126.813                                       
United States 1941 USA 130865641 1815098556416.000                11.360 395.054 29592.186 3872.600                         6.778 61.405 7391.903 967.346                                    3.622 77.025 16840.467 2203.838                                       
United States 1942 USA 132508765 2013171023872.000                12.704 491.974 32938.004 4364.574                         6.348 61.405 7763.645 1028.751                                    -1.111 -24.493 16446.805 2179.346                                       
United States 1943 USA 134350677 2203245608960.000                1.209 52.746 32879.031 4417.320                         5.969 61.405 8114.257 1090.156                                    8.548 186.289 17607.912 2365.635                                       
United States 1944 USA 136218191 2361835388928.000                4.980 219.991 34043.262 4637.312                         5.633 61.405 8453.796 1151.561                                    11.476 271.479 19359.484 2637.114                                       
United States 1945 USA 138111665 2314667819008.000                -7.418 -343.996 31085.828 4293.315                         5.332 61.405 8782.499 1212.966                                    2.131 56.185 19500.877 2693.299                                       
United States 1946 USA 140031458 2103900897280.000                -5.602 -240.508 28942.125 4052.808                         5.062 61.405 9100.602 1274.370                                    1.184 31.878 19461.174 2725.177                                       
United States 1947 USA 141977937 2070709141504.000                15.670 635.057 33018.262 4687.865                         10.330 131.643 9903.040 1406.013                                    7.097 193.395 20556.516 2918.572                                       
United States 1948 USA 143951473 2168923357184.000                -4.474 -209.717 31108.730 4478.147                         12.353 173.678 10973.773 1579.691                                    8.789 256.500 22056.539 3175.071                                       
United States 1949 USA 146051521 2126235566080.000                -26.673 -1194.436 22483.238 3283.711                         5.284 83.474 11387.523 1663.165                                    -8.823 -280.143 19821.279 2894.928                                       
United States 1950 USA 148281552 2320610099200.000                16.554 543.582 25810.986 3827.293                         15.904 264.510 13000.101 1927.675                                    7.147 206.886 20918.408 3101.814                                       
United States 1951 USA 150598448 2497407877120.000                2.915 111.561 26154.680 3938.854                         18.704 360.555 15194.245 2288.230                                    13.890 430.845 23457.473 3532.659                                       
United States 1952 USA 152941728 2590801395712.000                -11.954 -470.848 22675.344 3468.006                         7.456 170.611 16076.977 2458.841                                    1.874 66.210 23530.979 3598.869                                       
United States 1953 USA 155451200 2709832597504.000                -3.770 -130.740 21468.256 3337.266                         4.792 117.837 16575.475 2576.677                                    2.937 105.693 23831.029 3704.562                                       
United States 1954 USA 158205872 2691885432832.000                -13.814 -460.998 18180.541 2876.268                         4.120 106.166 16957.926 2682.844                                    -1.786 -66.163 22997.875 3638.399                                       
United States 1955 USA 161136448 2882221637632.000                16.607 477.672 20814.287 3353.940                         7.572 203.143 17910.201 2885.986                                    7.319 266.304 24232.275 3904.703                                       
United States 1956 USA 164063408 2938405650432.000                7.809 261.909 22039.340 3615.849                         7.198 207.737 18856.875 3093.723                                    5.348 208.805 25072.670 4113.508                                       
United States 1957 USA 166949120 2993553408000.000                -2.259 -81.685 21169.109 3534.164                         5.932 183.507 19630.111 3277.230                                    -0.015 -0.605 24635.666 4112.903                                       
United States 1958 USA 170147104 2963550502912.000                -16.627 -587.631 17317.562 2946.533                         3.277 107.401 19892.381 3384.631                                    -6.416 -263.896 22621.641 3849.007                                       
United States 1959 USA 173324608 3183156920320.000                0.296 8.736 17050.488 2955.269                         9.211 311.768 21326.453 3696.399                                    5.129 197.408 23345.873 4046.414                                       
United States 1960 USA 176188576 3262376312832.000                0.410 12.107 16842.047 2967.376                         6.018 222.464 22242.438 3918.863                                    0.013 0.535 22969.420 4046.949                                       
United States 1961 USA 179087280 3338584195072.000                -3.108 -92.235 16054.415 2875.142                         3.218 126.127 22586.697 4044.990                                    1.819 73.595 23008.580 4120.544                                       
United States 1962 USA 181917808 3539745112064.000                4.429 127.329 16504.545 3002.471                         4.696 189.943 23279.379 4234.934                                    2.076 85.550 23120.850 4206.094                                       
United States 1963 USA 184649872 3692868403200.000                8.506 255.378 17643.385 3257.849                         6.275 265.735 24374.068 4500.668                                    2.860 120.277 23430.137 4326.372                                       
United States 1964 USA 187277376 3906859958272.000                5.677 184.937 18383.354 3442.786                         5.661 254.790 25392.592 4755.458                                    1.239 53.591 23387.570 4379.963                                       
United States 1965 USA 189703280 4156141338624.000            16996.248 3224.244   4.508 155.198 18966.379 3597.984  22.329       76117.297 3.474     72734.258 13797.927  95.555   4159.206   21924.797 3.502 166.525 25945.695 4921.983  28.804    588.364 1048.870 198.974 3101.497  4.075   641.774   3383.040  4.445     10.922 20.290 3.849 57.574  0.076   6414.477   33813.211 13.565 594.124 26220.350 4974.086  44.423 42.488 13.332    70.279  223.969   0.294  14439.700   630.852   3325.466  4.369                
United States 1966 USA 191830976 4428300025856.000          4.857 156.602 17624.090 3380.846   3.925 141.216 19492.160 3739.200  22.173     5.593 807.663 79483.320 3.443 5.776 796.921   76081.812 14594.848  95.720 7.779 323.550 4482.756   23368.258 7.276 358.105 27524.693 5280.089  29.400  0.484 2.847 591.211 1042.256 199.937 3081.938  3.877 1.690 10.742 652.516   3401.515  4.280   50.953 5.565 16.487 30.289 5.810 85.946  0.108 4.938 316.768 6731.245   35089.457 6.277 312.200 27557.002 5286.287  44.147 44.818 14.062  5.474 2.330 73.304  233.630   0.294  15247.363 0.797 5.177 636.029   3315.569  4.171                
