World 1900  1627883132 3503708176384.000                  3286.408 5349.888                           45.360 73.840                                      144.328 234.949                                       
World 1978  4289657600  26.532 4.860 5.403 23.179    0.030  1.038 200.078 4538.239 19467.490   1.553 308.801 4707.785 20194.787  25.557     3.917 2871.477 17757.373  3.345 2248.430   16193.696 69465.414  91.194 4.186 534.109 13293.947   3099.070 3.385 432.446 3078.708 13206.601  17.452  8.226 362.852 4773.711 376.343 1614.382 1112.842  6.267 10.396 623.045 6707.626 532.321 2283.476 1563.674  8.806   16.200 247.563 1775.701 145.884 625.794 413.949  2.331 4.303 1514.246 36703.980   8556.390 0.909 325.301 8421.224 36124.168  48.185 135.027 43.297  5.880 7.760 10.093  31.477   0.177  76173.047 8.381 375.481 4931.925 386.437 1657.682 1149.725  6.475  0.000 0.000 0.000 0.000 0.000  0.000  0.009 0.009 0.001 0.003 0.002  0.000
World 1979  4365582848  20.900 4.844 6.419 28.023    0.036  4.639 903.088 4666.176 20370.578   5.870 1185.359 4897.432 21380.146  25.883     3.321 2529.852 18028.039  3.175 2205.461   16417.252 71670.875  91.065 6.199 824.082 14118.029   3233.939 6.742 890.416 3229.126 14097.017  17.938  5.005 238.936 5012.647 388.307 1695.186 1148.219  6.369 4.939 324.402 7032.028 548.049 2392.551 1610.788  8.935   4.005 71.124 1846.825 149.089 650.860 423.042  2.347 1.303 478.285 37182.266   8517.137 4.232 1528.875 8624.975 37653.043  47.244 144.516 46.499  7.397 9.489 10.651  33.103   0.184  78702.898 5.286 253.278 5185.204 398.960 1741.691 1187.746  6.588  0.000 0.000 0.000 0.000 0.000  0.000 100.000 0.009 0.018 0.001 0.006 0.004  0.000
World 1980  4444007936 31982614478848.000 16.996 4.763 7.378 32.786    0.042  2.490 507.205 4697.962 20877.783   -1.927 -412.072 4718.280 20968.074  26.765     -0.889 -699.648 17552.455 2.439 -1.388 -994.797   15903.680 70676.078  90.607 0.842 118.932 14236.961   3203.631 1.322 186.321 3214.067 14283.338  18.252  2.151 107.822 5120.469 389.659 1731.649 1152.219  6.564 4.359 295.142 7327.170 561.048 2493.301 1648.775  9.393   9.382 173.271 2020.096 160.199 711.924 454.566  2.590 -4.359 -1620.934 35561.332   8002.085 -4.524 -1703.457 8089.451 35949.586  45.590 153.789 49.717  6.921 9.273 11.188  34.606   0.197  78003.250 2.512 121.871 5307.075 400.849 1781.377 1194.209  6.804  0.000 0.000 0.000 0.000 0.000  0.000 75.000 0.013 0.031 0.002 0.010 0.007  0.000
World 1981  4524627456  -9.267 -3.038 6.575 29.748    0.038  1.342 280.219 4676.187 21158.002   2.276 477.189 4739.675 21445.264  27.244     -0.439 -342.711 17163.963  -1.169 -826.500   15437.642 69849.578  89.942 1.116 158.912 14395.873   3181.670 1.734 247.643 3211.531 14530.980  18.537  2.151 110.160 5230.628 390.950 1768.904 1156.035  6.735 6.604 483.788 7810.958 588.590 2663.151 1726.321  10.058   18.096 365.547 2385.643 185.817 840.751 527.257  3.072 -3.559 -1265.629 34295.703   7579.785 -5.817 -2091.250 7483.121 33858.336  44.161 164.908 53.486  7.580 11.119 11.821  36.447   0.212  77660.539 2.094 118.241 5425.315 402.774 1822.400 1199.063  6.986  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.031 0.002 0.010 0.007  0.000
World 1982  4607984640  26.248 7.808 8.150 37.556    0.049  1.122 237.424 4643.120 21395.426   3.540 759.186 4818.690 22204.449  27.686     -0.492 -382.352 16770.496  -1.022 -713.812   15003.472 69135.766  89.463 0.513 73.858 14469.731   3140.143 0.458 66.503 3167.867 14597.483  18.724  1.809 94.637 5325.266 390.823 1800.908 1155.660  6.891 4.437 331.469 8142.427 602.175 2774.813 1767.026  10.537   8.496 202.675 2588.317 197.956 912.178 561.703  3.349 -2.989 -1025.098 33270.605   7220.208 -3.956 -1339.604 7057.040 32518.732  43.053 191.233 61.709  15.374 26.325 13.392  41.500   0.247  77278.188 2.594 128.794 5554.109 404.219 1862.636 1205.323  7.187  0.000 0.000 0.000 0.000 0.000  0.000 76.190 0.024 0.055 0.004 0.019 0.012  0.000
World 1983  4691884032  30.522 11.463 10.448 49.019    0.062  3.064 655.545 4699.812 22050.971   -0.303 -67.238 4718.192 22137.211  28.054     1.712 1323.266 16752.643  1.040 718.789   14888.381 69854.555  88.872 1.618 234.095 14703.826   3133.885 0.894 130.568 3139.049 14728.052  18.707  4.268 227.277 5552.542 400.216 1877.769 1183.436  7.064 7.702 604.470 8746.896 635.133 2979.973 1864.261  11.128   13.335 345.142 2933.459 220.341 1033.813 625.220  3.732 -0.514 -170.848 33099.758   7054.684 -1.219 -396.260 6846.391 32122.473  42.111 211.771 68.355  10.770 20.538 14.569  45.136   0.269  78601.453 4.999 259.329 5813.438 414.793 1946.160 1239.041  7.396  0.009 0.009 0.001 0.003 0.002  0.000 77.270 0.042 0.097 0.007 0.033 0.021  0.000
World 1984  4775836160  17.926 8.787 12.104 57.806    0.070  4.342 957.469 4817.678 23008.439   4.375 968.455 4838.036 23105.666  28.015     4.489 3528.781 17197.037  3.838 2680.930   15188.018 72535.484  88.318 8.153 1198.850 15902.676   3329.820 8.559 1260.561 3347.814 15988.612  19.363  3.387 188.078 5740.620 406.499 1941.373 1202.014  6.990 9.942 847.858 9594.755 685.187 3272.339 2009.021  11.682   21.354 626.398 3559.857 262.691 1254.568 745.389  4.334 1.585 524.609 33624.367   7040.520 1.960 629.746 6857.902 32752.219  40.940 236.321 76.346  11.691 24.550 15.986  49.483   0.288  82130.234 4.030 221.460 6034.898 422.496 2017.771 1263.632  7.348 110.370 0.010 0.019 0.001 0.006 0.004  0.000 36.471 0.035 0.132 0.009 0.045 0.028  0.000
World 1985  4861730816  18.343 10.604 14.071 68.410    0.081  4.295 988.299 4935.843 23996.738 770.998 3748.385 5.067 1170.842 4993.388 24276.508 37.916 28.454   9886.064 12.746 2.684 2204.289 17346.605  1.944 1409.781 1292.847 6285.474 15209.658 73945.266 63.579 87.681 2.261 359.541 16262.217 293.379 1426.332 3344.944 2.638 421.726 3375.411 16410.338 14.428 19.283  1.951 111.982 5852.602 407.107 1979.244 1203.810 20.021 6.940 8.564 794.497 10389.252 729.564 3546.944 2136.945 35.878 12.319   18.680 664.981 4224.837 306.253 1488.922 868.999 15.061 5.010 0.184 61.945 33686.312 228.470 1110.757 6928.873 -0.875 -286.537 6677.803 32465.682 11.236 39.944 243.177 78.703  3.086 6.857 16.188  50.019 0.796  0.288 2033.446 84334.523 2.450 129.516 6164.414 423.311 2058.022 1267.946 20.817 7.309 86.140 0.016 0.035 0.002 0.012 0.007 0.000 0.000 43.491 0.058 0.190 0.013 0.064 0.039 0.001 0.000
World 1986  4950063104  23.086 15.793 17.010 84.203    0.098  1.113 267.080 4901.719 24263.818 775.548 3839.010 2.372 575.787 5020.602 24852.295 37.708 28.146   10180.790 12.859 2.222 1873.703 17415.582  1.971 1457.586 1300.988 6439.975 15232.705 75402.852 63.256 87.466 0.977 158.891 16421.107 289.429 1432.692 3317.353 2.586 424.443 3400.923 16834.781 14.072 19.048  1.356 79.334 5931.936 405.262 2006.073 1198.356 19.704 6.881 4.294 416.127 10805.379 744.719 3686.406 2182.877 36.209 12.534   7.107 300.249 4525.086 322.165 1594.736 914.147 15.664 5.249 3.062 1031.609 34717.922 236.012 1168.273 7013.632 4.940 1603.709 6882.618 34069.391 11.475 40.272 263.698 85.443  8.565 20.521 17.261  53.272 0.839  0.306 2056.699 86208.227 2.325 115.879 6280.293 422.554 2091.670 1268.730 20.545 7.285 29.252 0.010 0.045 0.003 0.015 0.009 0.000 0.000 116.180 0.221 0.411 0.028 0.139 0.083 0.001 0.000
World 1987  5040984576  1.339 1.127 16.927 85.330    0.096  3.976 964.668 5004.674 25228.486 805.017 4058.077 1.887 468.971 5023.080 25321.266 38.030 28.243   10670.628 13.018 3.617 3118.062 17720.008  3.475 2620.570 1340.564 6757.762 15477.814 78023.422 63.330 87.347 5.242 860.785 17281.893 300.836 1516.510 3428.277 5.012 843.791 3506.968 17678.572 14.212 19.347  1.352 80.192 6012.128 403.332 2033.192 1192.650 19.054 6.731 4.624 497.481 11302.860 765.654 3859.648 2242.193 36.171 12.653   8.779 397.245 4922.331 344.126 1734.733 976.462 16.257 5.511 2.290 795.125 35513.047 234.711 1183.175 7044.863 0.231 78.699 6774.091 34148.090 11.088 39.757 282.462 91.516  7.107 18.764 18.154  56.033 0.858  0.316 2116.775 89326.289 1.580 100.236 6380.529 421.528 2124.915 1265.731 19.914 7.143 -30.169 -0.014 0.031 0.002 0.011 0.006 0.000 0.000 40.730 0.167 0.578 0.039 0.195 0.115 0.002 0.001
World 1988  5132294144  4.957 4.230 17.450 89.560    0.097  2.991 754.592 5062.664 25983.078 818.479 4200.674 2.429 615.039 5053.550 25936.305 37.706 28.043   11140.627 13.126 3.725 3327.242 18053.043  3.432 2677.414 1363.558 6998.179 15724.125 80700.836 62.817 87.100 4.669 806.949 18088.842 300.252 1540.980 3524.514 4.408 779.191 3596.396 18457.764 13.832 19.523  3.205 192.667 6204.794 408.852 2098.349 1208.971 18.835 6.697 5.797 649.837 11952.697 795.765 4084.101 2328.919 36.660 12.900   9.022 444.117 5366.448 368.500 1891.249 1045.624 16.976 5.792 3.142 1115.867 36628.914 244.827 1256.525 7136.948 4.274 1459.480 6937.944 35607.570 11.279 39.533 290.883 94.161  2.890 8.421 18.347  56.677 0.845  0.314 2170.691 92653.531 3.265 205.719 6586.249 427.265 2192.852 1283.295 19.683 7.108 -3.839 -0.001 0.030 0.002 0.010 0.006 0.000 0.000 69.713 0.403 0.980 0.065 0.332 0.191 0.003 0.001
World 1989  5223704064  6.843 6.129 18.318 95.689    0.101  0.954 247.971 5021.542 26231.049 837.908 4376.982 1.766 458.160 5052.826 26394.465 37.545 27.773   11657.959 13.467 1.936 1794.172 18080.600  2.018 1628.227 1427.289 7455.736 15760.667 82329.062 63.954 87.169 4.422 799.807 18888.648 330.906 1728.554 3615.949 3.463 639.229 3655.833 19096.992 14.827 19.999  -0.513 -31.822 6172.972 399.637 2087.587 1181.723 17.907 6.536 1.491 165.943 12118.641 792.576 4140.182 2319.932 35.514 12.831   2.843 152.548 5518.996 372.343 1945.011 1056.529 16.684 5.843 1.585 580.453 37209.367 258.476 1350.200 7123.177 1.207 429.910 6898.836 36037.480 11.582 39.397 322.373 104.672  11.163 31.490 20.038  61.713 0.898  0.341 2231.742 94447.703 0.370 13.396 6599.645 420.233 2195.171 1263.403 18.830 6.988 2471.835 0.745 0.775 0.050 0.262 0.148 0.002 0.001 699.137 6.855 7.835 0.507 2.650 1.500 0.023 0.008
World 1990  5316175872 43033605177344.000 11.370 10.880 20.046 106.569    0.112  -1.200 -314.844 4874.971 25916.205 838.994 4460.242 -0.188 -49.508 4955.622 26344.957 37.289 27.125   11961.343 13.687 1.162 1097.062 17972.461 2.220 0.821 676.289 1432.419 7614.993 15613.733 83005.352 63.663 86.876 3.137 592.502 19481.150 336.469 1788.729 3664.504 3.143 600.172 3705.138 19697.164 14.954 20.390  3.403 210.041 6383.013 406.047 2158.619 1200.677 18.047 6.681 3.569 420.766 12539.406 805.177 4280.460 2358.727 35.786 13.124   2.858 157.725 5676.721 376.322 2000.596 1067.820 16.726 5.941 1.071 398.633 37608.000 256.956 1366.023 7074.258 1.913 689.297 6908.496 36726.777 11.420 39.362 361.214 117.224  11.992 38.841 22.051  67.946 0.980  0.378 2249.990 95544.766 4.172 263.041 6862.686 428.854 2279.864 1290.906 19.060 7.183 48.099 0.373 1.148 0.073 0.388 0.216 0.003 0.001 37.086 2.906 10.741 0.683 3.632 2.020 0.030 0.011
World 1991  5406245888  3.826 4.078 20.466 110.647    0.115  -0.960 -248.799 4747.732 25667.406 842.926 4557.066 -2.718 -716.139 4740.594 25628.818 37.284 26.651   12222.450 13.910 0.800 764.117 17814.373  0.390 323.516 1428.457 7722.592 15413.443 83328.867 63.184 86.523 2.524 491.686 19972.836 335.565 1814.147 3694.400 1.333 262.523 3691.968 19959.688 14.843 20.738  2.313 147.621 6530.634 408.517 2208.542 1207.979 18.070 6.781 3.541 440.604 12980.010 819.738 4431.706 2400.928 36.259 13.477   4.784 271.590 5948.311 387.757 2096.310 1100.266 17.151 6.176 0.214 80.625 37688.625 249.966 1351.379 6971.312 -0.270 -99.070 6775.072 36627.707 11.057 39.133 376.841 122.263  4.298 15.628 22.615  69.705 1.000  0.391 2260.802 96308.883 2.498 169.013 7031.699 431.981 2335.396 1300.662 19.107 7.301 30.120 0.346 1.494 0.093 0.505 0.276 0.004 0.002 12.488 1.341 12.083 0.756 4.086 2.235 0.033 0.013
World 1992  5492686336  -1.754 -1.941 19.791 108.706    0.112  -0.390 -100.125 4654.786 25567.281 846.546 4649.810 -0.220 -56.371 4655.727 25572.447 37.692 26.392   12336.336 13.957 0.589 567.070 17637.264  0.594 494.766 1421.505 7807.883 15260.954 83823.633 63.292 86.527 0.454 90.646 20063.482 332.884 1828.429 3652.763 0.294 58.652 3644.544 20018.340 14.821 20.710  -0.010 -0.673 6529.961 402.046 2208.314 1188.847 17.901 6.741 0.512 72.309 13052.318 811.424 4456.896 2376.309 36.128 13.473   0.759 45.152 5993.463 384.552 2112.223 1091.172 17.122 6.187 1.338 504.246 38192.871 242.075 1329.644 6953.405 1.448 530.289 6764.995 37157.996 10.778 39.425 404.813 131.160  7.277 27.972 23.879  73.700 1.063  0.418 2245.957 96875.953 0.300 27.156 7058.854 426.872 2344.674 1285.137 19.006 7.286 -7.647 -0.114 1.380 0.085 0.467 0.251 0.004 0.001 15.827 1.912 13.995 0.862 4.733 2.548 0.038 0.014
World 1993  5577433600  5.183 5.634 20.500 114.340    0.117  0.480 122.664 4606.051 25689.945 847.661 4727.774 -3.012 -770.186 4446.895 24802.262 37.522 26.307   12599.859 14.195 0.803 778.289 17508.812  0.187 156.367 1409.015 7858.686 15057.104 83980.000 62.371 85.997 1.007 201.998 20265.480 333.923 1862.431 3633.478 1.139 227.955 3630.038 20246.295 14.781 20.752  6.023 393.295 6923.256 419.784 2341.319 1241.298 18.582 7.090 4.748 621.928 13674.246 836.949 4668.025 2451.709 37.048 14.003   3.444 206.406 6199.870 391.751 2184.965 1111.599 17.341 6.349 -0.441 -168.301 38024.570 227.431 1268.480 6817.575 -0.142 -52.840 6652.729 37105.156 10.067 38.938 418.267 135.481  3.294 13.454 24.291  74.993 1.075  0.428 2259.078 97654.242 5.870 415.522 7474.376 445.198 2483.061 1340.110 19.707 7.654 19.285 0.266 1.646 0.100 0.557 0.295 0.004 0.002 20.524 2.872 16.867 1.023 5.704 3.024 0.045 0.017
World 1994  5660727808  8.537 9.762 21.923 124.102    0.125  0.394 101.324 4556.175 25791.270 864.150 4891.716 2.296 569.361 4482.042 25371.623 37.851 26.079   12923.506 14.377 1.273 1243.234 17470.807  1.254 1053.203 1434.297 8119.163 15021.603 85033.203 62.825 85.981 0.613 124.133 20389.613 339.838 1923.732 3601.942 1.463 296.221 3628.953 20542.516 14.886 20.617  0.623 43.128 6966.385 416.184 2355.905 1230.652 18.230 7.044 1.506 190.023 13864.270 835.633 4730.290 2449.203 36.602 14.019   1.877 116.378 6316.248 393.232 2225.979 1115.801 17.224 6.387 2.177 827.750 38852.320 230.309 1303.714 6863.485 1.385 514.047 6645.648 37619.203 10.088 39.285 434.681 140.677  3.836 16.414 24.851  76.789 1.089  0.440 2283.011 98897.477 1.194 73.645 7548.021 442.401 2504.311 1333.401 19.378 7.632 7.240 0.119 1.765 0.105 0.597 0.312 0.005 0.002 25.027 4.221 21.088 1.260 7.132 3.725 0.055 0.021
World 1995  5743219712  5.615 6.969 22.822 131.070    0.130  0.715 184.479 4522.854 25975.748 877.334 5038.720 3.055 774.992 4552.606 26146.615 37.654 25.704   13381.801 14.608 2.184 2159.930 17595.949  1.739 1478.930 1451.333 8335.322 15063.351 86512.133 62.288 85.607 3.506 714.879 21104.492 354.309 2034.873 3674.680 1.660 340.984 3636.201 20883.500 15.206 20.884  5.411 376.967 7343.352 432.403 2483.388 1278.612 18.558 7.267 4.906 681.005 14545.274 863.883 4961.471 2532.599 37.076 14.393   4.337 273.965 6590.213 404.395 2322.530 1147.477 17.356 6.521 1.492 579.574 39431.895 219.690 1261.730 6865.817 1.372 516.312 6640.093 38135.516 9.429 39.019 454.290 146.642  4.240 19.609 25.533  79.100 1.096  0.450 2330.017 101057.406 5.387 407.040 7955.062 459.488 2638.941 1385.122 19.720 7.872 7.019 0.124 1.889 0.111 0.639 0.329 0.005 0.002 15.990 3.372 24.461 1.440 8.272 4.259 0.062 0.024
World 1996  5825145344  -4.033 -5.286 21.593 125.785    0.121  2.374 616.650 4565.104 26592.398 906.328 5279.495 1.363 356.297 4549.743 26502.912 38.265 25.577   13797.090 14.633 2.883 2913.328 17848.607  2.966 2566.133 1480.997 8627.022 15292.024 89078.266 62.528 85.676 4.998 1054.762 22159.254 360.531 2100.145 3804.069 4.867 1016.463 3759.556 21899.963 15.222 21.313  1.346 98.843 7442.194 432.060 2516.815 1277.598 18.242 7.158 2.303 347.192 14892.467 872.776 5084.048 2556.583 36.849 14.324   3.620 238.593 6828.806 413.142 2406.615 1172.298 17.443 6.568 2.269 894.719 40326.613 214.138 1247.382 6922.851 2.663 1015.723 6721.075 39151.238 9.041 38.787 466.364 150.704  2.770 12.075 25.871  80.061 1.092  0.449 2368.540 103970.734 1.199 108.600 8063.661 459.634 2677.433 1384.285 19.406 7.756 9.446 0.178 2.068 0.120 0.699 0.355 0.005 0.002 11.406 2.790 27.250 1.582 9.216 4.678 0.067 0.026
World 1997  5906481152  3.376 4.246 22.015 130.031    0.124  -0.170 -45.121 4494.601 26547.277 913.511 5395.633 1.479 391.984 4553.455 26894.896 38.190 25.278   14128.537 14.832 1.012 1052.547 17781.023  1.034 921.484 1508.713 8911.184 15237.457 89999.750 63.072 85.695 -0.582 -128.863 22030.391 384.380 2270.331 3729.867 -0.078 -16.992 3704.908 21882.971 16.069 20.977  1.770 131.708 7573.902 433.652 2561.356 1282.304 18.129 7.212 0.879 131.069 15023.536 867.794 5125.610 2543.568 36.278 14.305   -0.688 -46.963 6781.843 404.651 2390.064 1148.204 16.917 6.457 2.716 1095.465 41422.078 210.822 1245.219 7012.987 2.227 871.961 6776.149 40023.199 8.814 39.441 499.977 161.412  7.105 33.612 27.328  84.649 1.142  0.476 2392.040 105023.281 2.225 178.032 8241.693 463.143 2735.546 1395.364 19.362 7.847 7.212 0.149 2.217 0.127 0.750 0.375 0.005 0.002 30.520 8.317 35.567 2.036 12.028 6.022 0.085 0.034
World 1998  5987312640  2.579 3.353 22.278 133.384    0.126  -0.630 -167.146 4406.005 26380.131 920.482 5511.211 -1.794 -482.391 4411.413 26412.506 37.980 24.974   14510.952 15.158 0.579 608.500 17642.604  0.442 398.211 1539.010 9214.535 15098.253 90397.961 63.501 85.578 1.832 403.607 22433.998 402.158 2407.846 3746.923 2.648 579.363 3751.656 22462.334 16.593 21.238  0.764 57.891 7631.793 431.067 2580.934 1274.661 17.786 7.225 1.424 210.281 15233.817 868.017 5197.087 2544.350 35.815 14.422   1.721 116.709 6898.552 406.058 2431.195 1152.195 16.754 6.531 0.391 161.754 41583.832 216.370 1295.477 6945.325 2.527 1011.504 6853.609 41034.703 8.928 39.367 520.585 168.217  4.216 20.608 28.096  86.948 1.159  0.493 2423.617 105631.781 1.176 93.572 8335.266 461.959 2765.892 1392.155 19.061 7.891 8.297 0.184 2.401 0.136 0.812 0.401 0.006 0.002 32.432 11.535 47.103 2.661 15.929 7.867 0.110 0.045
World 1999  6067758592  1.397 1.863 22.290 135.247    0.126  0.426 112.328 4366.103 26492.459 927.966 5630.671 0.033 8.820 4354.380 26421.326 37.723 24.661   14926.200 15.342 1.701 1796.844 17704.828  1.585 1433.180 1565.443 9498.733 15134.277 91831.141 63.638 85.481 2.843 637.904 23071.902 428.528 2600.207 3802.376 2.851 640.416 3807.460 23102.750 17.420 21.476  0.757 57.765 7689.558 428.572 2600.469 1267.281 17.422 7.158 2.396 363.669 15597.486 877.252 5322.954 2570.552 35.662 14.519   3.805 262.500 7161.052 415.921 2523.706 1180.181 16.908 6.666 1.642 682.945 42266.777 208.950 1267.856 6965.797 -2.266 -930.012 6609.474 40104.691 8.494 39.344 546.185 176.648  5.012 25.599 29.113  90.014 1.183  0.508 2459.920 107428.625 1.215 101.168 8436.434 461.332 2799.249 1390.371 18.754 7.853 11.509 0.276 2.677 0.149 0.905 0.441 0.006 0.002 33.257 15.665 62.768 3.498 21.227 10.344 0.142 0.058
World 2000  6148898816 59897668435968.000 -2.025 -2.739 21.550 132.509 24.964 153.500 1.005 0.120 517.841 3.582 949.029 4462.830 27441.488 944.777 5809.340 1.479 390.857 4360.485 26812.184 38.027 24.864 15276.960 2484.503 15276.960 15.285 2.736 2939.430 17949.238 1.843 2.818 2588.039 1606.483 9878.100 15355.462 94419.180 64.660 85.549 3.998 922.354 23994.256 446.436 2745.090 3902.204 3.915 904.416 3904.303 24007.166 17.969 21.740 7911.040 1.776 136.529 7826.087 427.569 2629.080 1272.762 17.209 7.091 2.180 351.394 15948.880 878.021 5398.860 2593.778 35.340 14.451   2.257 161.630 7322.683 413.157 2540.460 1190.893 16.629 6.635 1.696 716.652 42983.430 215.269 1323.670 6990.427 4.386 1759.035 6808.329 41863.727 8.664 38.946 571.595 197.150 43.650 4.660 25.410 32.063 7.099 92.959 1.291 0.286 0.518 2484.503 110368.055 2.113 189.764 8626.197 464.864 2858.400 1402.885 18.711 7.816 16.883 0.452 3.129 0.168 1.030 0.509 0.007 0.003 47.970 30.110 92.878 5.064 31.140 15.105 0.204 0.084
World 2001  6230747136  -0.818 -1.084 21.093 131.425 23.697 147.650 0.953 0.118 520.079 1.542 423.229 4472.131 27864.717 945.572 5891.620 4.237 1136.150 4485.551 27948.334 38.012 25.003 15499.400 2487.567 15499.400 15.333 0.976 1077.508 17886.389  1.195 1128.523 1619.430 10090.260 15334.871 95547.703 65.101 85.735 1.344 322.576 24316.832 467.718 2914.230 3902.715 2.362 567.014 3944.018 24574.180 18.802 21.819 8060.910 -2.572 -250.789 7575.298 411.609 2564.630 1215.793 16.547 6.797 0.327 -51.022 15897.857 868.137 5409.140 2551.517 34.899 14.265   2.824 157.875 7480.557 419.399 2613.170 1200.588 16.860 6.712 0.890 382.730 43366.160 206.141 1284.410 6960.026 -0.022 -9.223 6717.414 41854.504 8.287 38.912 593.648 191.800 44.150 3.874 22.053 30.783 7.086 95.277 1.237 0.285 0.533 2487.567 111445.562 -1.824 -208.896 8417.301 448.738 2795.970 1350.930 18.039 7.553 34.405 1.049 4.178 0.220 1.370 0.671 0.009 0.004 22.192 19.875 112.752 6.126 38.170 18.096 0.246 0.101
World 2002  6312407552  13.612 17.889 23.654 149.314 25.508 161.020 1.003 0.131 523.333 3.958 1102.875 4588.993 28967.592 973.597 6145.740 1.212 338.861 4481.206 28287.195 38.294 25.453 16049.010 2542.455 16049.010 15.533 2.121 2363.930 18029.490  2.197 2098.906 1666.713 10520.970 15468.996 97646.609 65.555 85.798 2.926 711.453 25028.285 491.787 3104.360 3964.935 2.332 573.156 3983.795 25147.336 19.343 21.991 8398.970 1.844 89.880 7665.178 413.866 2612.490 1214.303 16.278 6.735 2.446 265.018 16162.875 875.742 5528.040 2560.493 34.445 14.202   1.598 70.520 7551.077 420.565 2654.780 1196.228 16.542 6.635 0.656 284.574 43650.734 201.329 1270.870 6915.069 -1.207 -505.246 6550.474 41349.258 7.919 38.354 639.165 206.850 45.830 7.633 45.518 32.769 7.260 101.255 1.289 0.286 0.562 2542.455 113809.492 3.211 194.497 8611.798 455.177 2873.260 1364.265 17.903 7.567 26.374 1.068 5.246 0.271 1.710 0.831 0.011 0.005 36.482 40.141 152.894 8.271 52.210 24.221 0.325 0.134
World 2003  6393898496  13.138 19.617 26.421 168.931 27.323 174.700 1.051 0.143 535.741 8.781 2543.738 4928.344 31511.330 1028.527 6576.300 7.332 2073.941 4748.455 30361.137 39.553 26.748 16626.600 2600.385 16626.600 15.468 3.515 4000.727 18425.412  4.273 4172.500 1740.143 11126.300 15924.418 101819.109 66.919 86.426 2.795 699.445 25727.730 509.085 3255.040 4023.794 3.577 899.537 4073.708 26046.873 19.577 21.838 8907.550 -0.122 -58.447 7606.731 408.618 2612.660 1189.686 15.714 6.457 -0.265 -171.773 15991.102 860.242 5500.300 2500.994 33.081 13.574   -2.026 -200.420 7350.656 406.802 2601.050 1149.636 15.644 6.239 2.129 929.316 44580.051 202.531 1294.960 6972.280 4.438 1834.969 6753.975 43184.227 7.788 37.841 674.716 221.310 46.610 5.646 35.551 34.613 7.290 105.525 1.331 0.280 0.573 2600.385 117810.219 1.299 28.647 8640.445 453.440 2899.250 1351.358 17.437 7.334 25.356 1.288 6.534 0.328 2.100 1.022 0.013 0.006 20.814 30.639 183.533 9.881 63.180 28.704 0.380 0.156
World 2004  6475751424  19.031 32.149 31.051 201.080 29.419 190.510 1.094 0.163 530.917 6.913 2178.506 5202.460 33689.836 1049.844 6798.530 8.642 2623.844 5093.614 32984.980 39.043 27.229 17412.811 2688.925 17412.811 15.431 5.024 5918.750 19106.504  4.883 4972.141 1785.776 11564.240 16490.943 106791.250 66.412 86.311 3.912 1006.543 26734.273 541.072 3503.850 4128.366 3.400 885.477 4158.954 26932.350 20.122 21.607 9244.760 7.382 509.527 8116.258 432.716 2802.160 1253.331 16.093 6.560 6.761 946.613 16937.715 903.149 5848.570 2615.560 33.588 13.689   4.545 285.113 7635.770 419.937 2719.410 1179.133 15.617 6.171 4.009 1787.090 46367.141 194.859 1261.860 7160.117 5.013 2164.922 7002.917 45349.148 7.247 37.475 729.330 238.770 48.260 8.092 54.613 36.871 7.452 112.625 1.371 0.277 0.589 2688.925 123728.969 8.665 661.499 9301.944 483.212 3129.160 1436.427 17.970 7.518 31.769 2.021 8.555 0.429 2.780 1.321 0.016 0.007 35.291 63.189 246.722 13.195 85.450 38.099 0.491 0.199
World 2005  6558176256  16.624 33.428 35.758 234.508 32.184 211.070 1.164 0.183 534.973 7.423 2500.930 5518.419 36190.766 1093.069 7168.540 6.292 2075.281 5346.039 35060.262 39.534 28.302 18132.801 2764.915 18132.801 15.520 3.351 4145.914 19498.543  3.562 3804.047 1849.038 12126.320 16863.727 110595.297 66.875 86.487 2.636 704.709 27438.982 561.106 3679.830 4183.935 2.395 645.154 4205.057 27577.504 20.294 21.458 9700.550 3.363 219.872 8336.130 443.954 2911.530 1271.105 16.057 6.519 2.868 341.863 17279.578 915.877 6006.480 2634.814 33.125 13.513   0.262 -28.416 7607.354 415.812 2726.970 1159.980 15.039 5.949 1.291 598.410 46965.551 194.864 1277.950 7161.374 0.851 385.957 6973.753 45735.105 7.048 36.728 790.019 259.660 48.590 8.218 60.689 39.593 7.409 120.463 1.432 0.268 0.618 2764.915 127874.883 5.020 370.281 9672.226 500.064 3279.510 1474.835 18.086 7.564 40.911 3.424 11.978 0.602 3.950 1.826 0.022 0.009 22.202 52.869 299.591 15.914 104.370 45.682 0.576 0.234
