World 1900  1627883132 3503708176384.000                  3286.408 5349.888                           45.360 73.840                                      144.328 234.949                                       
World 1946  2397811266                 7.672 669.686 3919.478 9398.169                         5.352 70.940 582.359 1396.386                                    6.372 260.838 1815.897 4354.179                                       
World 1947  2416694412                 12.358 1161.455 4369.449 10559.624                         10.634 148.492 639.253 1544.878                                    10.159 442.358 1984.751 4796.538                                       
World 1948  2437259361                 3.325 351.156 4476.660 10910.780                         13.056 201.696 716.614 1746.574                                    13.183 632.335 2227.450 5428.873                                       
World 1949  2463242071                 -4.923 -537.130 4211.381 10373.650                         6.855 119.735 757.664 1866.309                                    -0.573 -31.134 2191.315 5397.739                                       
World 1950  2499322112 8461551665152.000                9.244 958.925 4534.260 11332.575                         14.484 270.325 854.885 2136.634                                    12.187 657.839 2422.888 6055.578                                       
World 1951  2543130368                 5.351 606.443 4694.615 11939.019                         18.622 397.875 996.610 2534.509                                    13.403 811.658 2700.308 6867.236                                       
World 1952  2590270976                 -0.574 -68.518 4582.726 11870.501                         7.698 195.117 1053.800 2729.627                                    5.112 351.063 2786.696 7218.299                                       
World 1953  2640278784                 0.444 52.685 4515.881 11923.186                         5.741 156.718 1093.197 2886.345                                    5.738 414.214 2890.798 7632.513                                       
World 1954  2691979264                 -1.289 -153.747 4372.039 11769.438                         4.894 141.253 1124.674 3027.598                                    4.693 358.181 2968.334 7990.694                                       
World 1955  2746072064                 8.653 1018.443 4656.791 12787.882                         8.785 265.965 1199.372 3293.563                                    12.074 964.790 3261.198 8955.483                                       
World 1956  2801002752                 5.679 726.209 4824.733 13514.091                         8.446 278.187 1275.168 3571.750                                    8.826 790.375 3479.418 9745.858                                       
World 1957  2857866752                 2.809 379.667 4861.583 13893.758                         8.650 308.966 1357.906 3880.716                                    5.386 524.908 3593.858 10270.767                                       
World 1958  2916108032                 3.160 439.050 4915.047 14332.808                         7.559 293.331 1431.376 4174.047                                    2.504 257.210 3610.283 10527.977                                       
World 1959  2970292224                 3.643 522.087 5001.156 14854.895                         11.634 485.629 1568.760 4659.676                                    7.911 832.882 3824.829 11360.858                                       
World 1960  3019233536 13338076512256.000                4.180 620.905 5125.738 15475.800                         8.856 412.648 1680.004 5072.324                                    7.746 879.984 4054.288 12240.843                                       
World 1961  3068370688                 -5.791 -896.266 4751.556 14579.534                         7.435 377.111 1776.003 5449.435                                    6.442 788.549 4246.355 13029.392                                       
World 1962  3126686720                 2.409 351.217 4775.263 14930.751                         9.406 512.560 1906.809 5961.995                                    8.475 1104.280 4520.335 14133.672                                       
World 1963  3195779328                 3.033 452.844 4813.723 15383.595                         9.418 561.509 2041.287 6523.504                                    7.290 1030.371 4745.022 15164.043                                       
World 1964  3267212288                 4.426 680.872 4916.873 16064.467                         9.260 604.103 2181.556 7127.606                                    7.997 1212.695 5012.450 16376.738                                       
World 1965  3337112064    2.706 9.030    0.021    4847.812 16177.694   1.974 317.091 4908.902 16381.558  37.309       12993.681      12134.455 40494.035  93.387   6303.820   1889.005 7.168 510.879 2288.951 7638.485  14.538    2729.886 276.646 923.198 818.039  6.296   2867.334 289.689 966.723 859.226  6.613     72.469 7.653 25.540 21.716  0.167   18012.520   5397.637 11.323 1854.344 5463.131 18231.082  41.540 55.949 17.985    5.389  16.766   0.129  43361.367   2794.865 282.035 941.183 837.510  6.446   0.000 0.000 0.000 0.000  0.000   0.000 0.000 0.000 0.000  0.000
World 1966  3406416896  1.993 0.180 2.704 9.210    0.020  1.123 181.736 4802.533 16359.431   1.387 227.165 4875.716 16608.723  35.771     5.470 2372.066 13425.671  5.338 2161.605   12522.144 42655.641  93.270 8.963 564.994 6868.814   2016.434 7.600 580.553 2412.810 8219.038  15.019  6.566 179.250 2909.136 288.813 983.817 854.016  6.361 7.329 210.454 3077.789 304.736 1038.056 903.527  6.730   34.822 25.236 97.705 10.108 34.433 28.683  0.214 7.855 1414.879 19427.398   5703.177 8.588 1565.729 5811.623 19796.811  42.480 61.738 19.806  10.124 5.789 5.814  18.124   0.135  45733.434 6.590 185.218 2980.083 294.627 1003.623 874.844  6.516  0.000 0.000 0.000 0.000 0.000  0.000  0.000 0.000 0.000 0.000 0.000  0.000
World 1967  3475448064  1.888 0.174 2.700 9.384    0.020  -1.613 -263.914 4631.206 16095.517   -3.552 -589.896 4609.140 16018.826  33.949     3.669 1678.031 13641.828  3.736 1593.762   12731.999 44249.402  93.331 7.356 505.244 7374.058   2121.758 7.618 626.097 2545.034 8845.135  15.553  2.229 64.833 2973.969 289.385 1005.742 855.708  6.273 2.755 84.273 3162.062 306.934 1066.735 909.828  6.669   19.088 18.650 116.355 11.799 41.006 33.479  0.245 6.961 1352.430 20779.828   5979.036 7.282 1441.652 6111.000 21238.463  43.829 62.353 19.987  0.912 0.616 5.751  17.941   0.132  47411.465 2.200 65.623 3045.706 295.136 1025.729 876.349  6.424  0.000 0.000 0.000 0.000 0.000  0.000  0.000 0.000 0.000 0.000 0.000  0.000
